service,centrality
IAM,9804.512999999999
EC2,5992.280999999999
S3,5805.187000000001
VPC,5332.025
Lambda,3399.7219999999998
CloudWatch,3108.8230000000003
RDS,1187.4260000000004
KMS,1151.6290000000001
Glue,890.1080000000001
SNS,758.741
DynamoDB,689.3740000000001
SQS,658.0339999999999
ECS,467.249
X-Ray,391.587
CloudFront,386.76300000000003
Lake Formation,377.27200000000005
Cognito,296.008
Redshift,290.365
EKS,280.759
Athena,270.217
API Gateway,253.664
Elastic Beanstalk,242.507
EFS,231.704
EMR,211.31099999999998
SageMaker,175.715
Aurora,123.52300000000001
ELB,103.717
Route 53,91.93200000000002
Amplify,41.337
Cloud9,16.868000000000002
