source,target,word_count,text_size_mb,weight
API Gateway,Amplify,4,1.678,2.384
API Gateway,Athena,0,1.678,0.0
API Gateway,Aurora,0,1.678,0.0
API Gateway,Cloud9,0,1.678,0.0
API Gateway,CloudFront,49,1.678,29.205
API Gateway,CloudWatch,183,1.678,109.071
API Gateway,Cognito,163,1.678,97.151
API Gateway,DynamoDB,38,1.678,22.649
API Gateway,EC2,24,1.678,14.304
API Gateway,ECS,32,1.678,19.073
API Gateway,EFS,0,1.678,0.0
API Gateway,EKS,0,1.678,0.0
API Gateway,ELB,0,1.678,0.0
API Gateway,EMR,0,1.678,0.0
API Gateway,Elastic Beanstalk,0,1.678,0.0
API Gateway,Glue,0,1.678,0.0
API Gateway,IAM,498,1.678,296.817
API Gateway,KMS,0,1.678,0.0
API Gateway,Lake Formation,0,1.678,0.0
API Gateway,Lambda,1220,1.678,727.141
API Gateway,RDS,0,1.678,0.0
API Gateway,Redshift,0,1.678,0.0
API Gateway,Route 53,4,1.678,2.384
API Gateway,S3,168,1.678,100.131
API Gateway,SNS,21,1.678,12.516
API Gateway,SQS,17,1.678,10.132
API Gateway,SageMaker,0,1.678,0.0
API Gateway,VPC,332,1.678,197.878
API Gateway,X-Ray,112,1.678,66.754
Amplify,API Gateway,0,0.269,0.0
Amplify,Athena,2,0.269,7.44
Amplify,Aurora,0,0.269,0.0
Amplify,Cloud9,0,0.269,0.0
Amplify,CloudFront,26,0.269,96.714
Amplify,CloudWatch,31,0.269,115.313
Amplify,Cognito,9,0.269,33.478
Amplify,DynamoDB,1,0.269,3.72
Amplify,EC2,9,0.269,33.478
Amplify,ECS,0,0.269,0.0
Amplify,EFS,0,0.269,0.0
Amplify,EKS,0,0.269,0.0
Amplify,ELB,0,0.269,0.0
Amplify,EMR,0,0.269,0.0
Amplify,Elastic Beanstalk,0,0.269,0.0
Amplify,Glue,0,0.269,0.0
Amplify,IAM,181,0.269,673.278
Amplify,KMS,5,0.269,18.599
Amplify,Lake Formation,0,0.269,0.0
Amplify,Lambda,17,0.269,63.236
Amplify,RDS,0,0.269,0.0
Amplify,Redshift,0,0.269,0.0
Amplify,Route 53,16,0.269,59.516
Amplify,S3,28,0.269,104.153
Amplify,SNS,9,0.269,33.478
Amplify,SQS,0,0.269,0.0
Amplify,SageMaker,0,0.269,0.0
Amplify,VPC,1,0.269,3.72
Amplify,X-Ray,0,0.269,0.0
Athena,API Gateway,0,1.276,0.0
Athena,Amplify,0,1.276,0.0
Athena,Aurora,1,1.276,0.784
Athena,Cloud9,0,1.276,0.0
Athena,CloudFront,33,1.276,25.861
Athena,CloudWatch,115,1.276,90.12
Athena,Cognito,0,1.276,0.0
Athena,DynamoDB,12,1.276,9.404
Athena,EC2,3,1.276,2.351
Athena,ECS,0,1.276,0.0
Athena,EFS,0,1.276,0.0
Athena,EKS,0,1.276,0.0
Athena,ELB,5,1.276,3.918
Athena,EMR,35,1.276,27.428
Athena,Elastic Beanstalk,0,1.276,0.0
Athena,Glue,578,1.276,452.952
Athena,IAM,387,1.276,303.274
Athena,KMS,59,1.276,46.236
Athena,Lake Formation,248,1.276,194.346
Athena,Lambda,281,1.276,220.207
Athena,RDS,3,1.276,2.351
Athena,Redshift,19,1.276,14.889
Athena,Route 53,0,1.276,0.0
Athena,S3,671,1.276,525.831
Athena,SNS,34,1.276,26.644
Athena,SQS,0,1.276,0.0
Athena,SageMaker,33,1.276,25.861
Athena,VPC,122,1.276,95.606
Athena,X-Ray,0,1.276,0.0
Aurora,API Gateway,0,4.065,0.0
Aurora,Amplify,0,4.065,0.0
Aurora,Athena,5,4.065,1.23
Aurora,Cloud9,2,4.065,0.492
Aurora,CloudFront,0,4.065,0.0
Aurora,CloudWatch,480,4.065,118.081
Aurora,Cognito,0,4.065,0.0
Aurora,DynamoDB,2,4.065,0.492
Aurora,EC2,180,4.065,44.28
Aurora,ECS,2,4.065,0.492
Aurora,EFS,0,4.065,0.0
Aurora,EKS,0,4.065,0.0
Aurora,ELB,0,4.065,0.0
Aurora,EMR,1,4.065,0.246
Aurora,Elastic Beanstalk,4,4.065,0.984
Aurora,Glue,1,4.065,0.246
Aurora,IAM,1210,4.065,297.663
Aurora,KMS,243,4.065,59.779
Aurora,Lake Formation,0,4.065,0.0
Aurora,Lambda,412,4.065,101.353
Aurora,RDS,3353,4.065,824.847
Aurora,Redshift,8,4.065,1.968
Aurora,Route 53,0,4.065,0.0
Aurora,S3,988,4.065,243.051
Aurora,SNS,41,4.065,10.086
Aurora,SQS,0,4.065,0.0
Aurora,SageMaker,249,4.065,61.255
Aurora,VPC,959,4.065,235.916
Aurora,X-Ray,0,4.065,0.0
Cloud9,API Gateway,20,1.116,17.917
Cloud9,Amplify,0,1.116,0.0
Cloud9,Athena,0,1.116,0.0
Cloud9,Aurora,0,1.116,0.0
Cloud9,CloudFront,2,1.116,1.792
Cloud9,CloudWatch,31,1.116,27.771
Cloud9,Cognito,1,1.116,0.896
Cloud9,DynamoDB,81,1.116,72.562
Cloud9,EC2,794,1.116,711.289
Cloud9,ECS,0,1.116,0.0
Cloud9,EFS,0,1.116,0.0
Cloud9,EKS,0,1.116,0.0
Cloud9,ELB,0,1.116,0.0
Cloud9,EMR,0,1.116,0.0
Cloud9,Elastic Beanstalk,3,1.116,2.687
Cloud9,Glue,0,1.116,0.0
Cloud9,IAM,484,1.116,433.582
Cloud9,KMS,16,1.116,14.333
Cloud9,Lake Formation,0,1.116,0.0
Cloud9,Lambda,174,1.116,155.874
Cloud9,RDS,1,1.116,0.896
Cloud9,Redshift,2,1.116,1.792
Cloud9,Route 53,0,1.116,0.0
Cloud9,S3,279,1.116,249.937
Cloud9,SNS,18,1.116,16.125
Cloud9,SQS,14,1.116,12.542
Cloud9,SageMaker,0,1.116,0.0
Cloud9,VPC,358,1.116,320.707
